District,Campus,Region,County,Type,grades_served,Charter,Students,perc_ed,perc_eb_el,overall_score,student_ach_score,school_prog_score,academic_growth_score,relative_perf_score,closing_gap_score,Grant,enroll_type
DALLAS ISD,JOHN Q ADAMS EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,502,92.6%,62.4%,75,56,79,79,58,71,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,PREK PARTNERSHIP CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,EE - PK,No,"1,185",96.5%,4.8%,86,        .,        .,        .,        .,        .,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,GABE P ALLEN CHARTER SCHOOL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,399,98.2%,33.6%,78,62,79,79,70,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,WILLIAM M ANDERSON EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,520,98.8%,71.5%,88,73,90,90,83,89,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ARCADIA PARK EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,606,91.4%,58.6%,84,77,86,86,86,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JOSE 'JOE' MAY EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 06,No,752,96.8%,79.5%,54,56,58,58,58,43,Yes,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,BAYLES EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,391,98.5%,59.6%,82,65,86,86,74,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,W A BLAIR EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,404,99.5%,52.5%,82,69,85,85,77,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,ANNIE WEBB BLANTON EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,597,95.1%,66.0%,86,78,88,88,88,79,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JAMES BOWIE EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,332,97.3%,67.8%,91,80,90,89,90,100,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JOHN NEELY BRYAN EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,376,99.5%,37.2%,82,56,88,88,58,73,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,HARRELL BUDD EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,454,95.4%,56.4%,77,65,83,83,73,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,DAVID G BURNET EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,623,95.8%,87.5%,81,69,76,67,76,71,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,RUFUS C BURLESON EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,453,98.9%,47.0%,86,74,84,83,84,83,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,W W BUSHMAN EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,340,97.9%,32.9%,93,91,94,94,92,100,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CHAPEL HILL PREPARATORY-A PERSONALIZED LRNING SCH,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,417,91.8%,64.5%,81,72,81,77,81,88,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,F P CAILLET EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,582,96.6%,75.4%,86,78,91,91,88,94,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JOHN W CARPENTER EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,209,98.6%,29.2%,84,65,88,88,74,66,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,C F CARR EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,282,97.5%,32.6%,83,69,91,91,77,78,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CASA VIEW EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,614,93.5%,62.9%,84,77,86,79,86,84,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CENTRAL EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,528,85.2%,40.5%,90,92,92,92,92,100,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,DR MARTIN LUTHER KING JR ARTS ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 06,No,426,94.8%,26.3%,89,77,86,85,86,96,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,S S CONNER EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,619,98.2%,45.6%,67,64,72,59,72,55,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,LEILA P COWART EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,547,90.1%,65.4%,85,72,90,90,80,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,IGNACIO ZARAGOZA EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,309,93.9%,53.4%,84,73,83,83,82,86,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,BARBARA JORDAN EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,445,97.8%,66.7%,83,67,80,80,75,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,GEORGE B DEALEY MONTESSORI ACADEMY,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 08,No,600,20.8%,10.8%,88,94,91,91,89,100,,SELECTIVE ENROL SCHL-CRITERIA-BASED
DALLAS ISD,EVERETTE LEE DEGOLYER EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,363,55.4%,33.1%,81,85,85,75,85,77,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,L O DONALD EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,335,92.2%,64.5%,82,76,85,72,85,74,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JULIUS DORSEY EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,394,97.0%,70.1%,85,79,89,74,89,76,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,PAUL L DUNBAR LEARNING CENTER,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,497,96.6%,23.5%,76,65,73,70,73,71,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,JILL STONE EL AT VICKERY MEADOW,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,399,95.7%,59.1%,62,56,62,62,58,63,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,J N ERVIN EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,629,98.3%,19.6%,77,55,82,82,57,75,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,STEPHEN C FOSTER EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 06,No,673,97.6%,81.4%,74,67,75,62,75,61,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,CHARLES A GILL EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,616,90.7%,58.0%,86,75,92,92,84,84,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,TOM C GOOCH EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,369,91.3%,71.0%,81,72,81,75,81,73,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,HALL PERSONALIZED LEARNING ACADEMY AT OAK CLIFF,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,431,97.0%,72.2%,79,71,79,72,79,69,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,MARGARET B HENDERSON EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,360,90.0%,62.5%,92,80,92,92,89,100,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,VICTOR H HEXTER EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,447,49.9%,14.8%,83,86,89,89,84,92,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,LARRY G SMITH EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,772,91.8%,53.8%,85,73,88,88,82,86,,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,C A TATUM JR EL,REGION 10: RICHARDSON,DALLAS,Elementary,PK - 05,No,425,96.5%,40.7%,59,59,66,55,66,58,Yes,ZONED SCHOOL-TRANSFERS ACCEPTED
DALLAS ISD,NATHANIEL HAWTHORNE EL,REGION 10: RICHARDSON,DALLAS,Elementary,EE - 05,No,392,92.3%,66.1%,88,74,89,89,83,88,,ZONED SCHOOL-TRANSFERS ACCEPTED
